Header line count: 79
Export version: 3.12
User:
 - name: Labor Labor
 - login: Labor
 - email: N/A

Project:
 - name: Practical Course EC2 SoSe25
 - tags: N/A
 - creator: Labor Labor

Test Plan:
 - name: CoinCell_Cycling_SoSe25
 - tags: N/A
 - creator: Labor Labor
 - tasks:
Step,Type,Control Parameters,Limits,Record Conditions
1,REST,,TIME > 6.0000h then NEXT_STEP,DELTA_TIME = 30.000s
2,LOOP,LOOP_ID: LOOP_1 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
3,CC,I: 237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 30.000s
4,CC,I: -237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 30.000s
N/A,LOOP,END LOOP_ID : LOOP_1,
5,LOOP,LOOP_ID: LOOP_2 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
6,CC,I: 2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 10.000s
7,CC,I: -2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 10.000s
N/A,LOOP,END LOOP_ID : LOOP_2,
8,LOOP,LOOP_ID: LOOP_3 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
9,CC,I: 4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 5.0000s
10,CC,I: -4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 5.0000s
N/A,LOOP,END LOOP_ID : LOOP_3,
 - no user variable
 - safety limits (after a time of 10.000ms):
  - U > 4.7000V then SAFETY_STOP

DUT Type:
 - name: Default Device Under Test
 - electrolyte: N/A
 - electrode material: N/A
 - description: N/A
 - tags: N/A
 - nominal capacity: N/A
 - maximum voltage: N/A
 - nominal voltage: N/A
 - minimum voltage: N/A
 - nominal energy: N/A
 - maximum discharge current: N/A
 - maximum charge current: N/A
 - mass: N/A
 - volume: N/A
 - surface area: N/A
 - characteristic mass: N/A
 - mass of active material: N/A
 - x: N/A
 - Molecular weight of active material at x=0: N/A
 - Acquisition started at x0=: N/A
 - Intercalated ion molecular weight of active material at x=0: N/A
 - Number of electrons transferred per intercalated ions: N/A

Test Run:
  - name: EC2_Group3_DS
  - tags: N/A
  - creator: Labor Labor
  - batch number: N/A
  - started on: 2025-09-16 10:23:18.671817
  - finished on: 2025-09-16 21:51:28.041441

Dut Run:
  - DUT Name: N/A
  - Comment: N/A

Instrument:
  - channel: A.7
  - model: BCS-905
  - serial number: 0729

System version: 3.0.0-9
System address: 10.128.128.50

Time /s,Step,Task,Cycle number,Loop 1 number,Loop 2 number,Loop 3 number,Loop 4 number,U /V,I /A,P /W,Q /Ah,Q charge /Ah,Q discharge /Ah,Capacity /Ah,Energy /Wh,Energy charge /Wh,Energy discharge /Wh,Temperature /CelsiusDegrees,I Range /A,Phase,Frequency /Hz,Ua /V,Ia /A,Impedance module /Ohms,Impedance phase /rad,Real impedance /Ohms,- Imaginary impedance /Ohms,Admittance module /Ohms,Admittance phase /rad,Real admittance /Ohms,Imaginary admittance /Ohms,@Var1,@Var2,@Var3,@Var4,@Var5,@Var6,@Var7,@Var8,@Var9,@Var10,Date Time /ns,Duration (step) /s,Umin (step) /V,Umax (step) /V,Umean (step) /V,Ubegin (step) /V,Uend (step) /V,Imin (step) /A,Imax (step) /A,Imean (step) /A,Ibegin (step) /A,Iend (step) /A,Q (step) /Ah,Q charge (step) /Ah,Q discharge (step) /Ah,Energy (step) /Wh,Energy charge (step) /Wh,Energy discharge (step) /Wh,Pmin (step) /W,Pmax (step) /W,Rdc (step) /Ohms,Rac (step) /Ohms,Counter value (loop),Loop ID (loop),List value (loop),Duration (loop) /s,Q (loop) /Ah,Q charge (loop) /Ah,Q discharge (loop) /Ah,Energy (loop) /Wh,Energy charge (loop) /Wh,Energy discharge (loop) /Wh,Duration (cycle) /s,Q (cycle) /Ah,Q charge (cycle) /Ah,Q discharge (cycle) /Ah,Efficiency (cycle) /none,Energy (cycle) /Wh,Energy charge (cycle) /Wh,Energy discharge (cycle) /Wh
1230.005,task_1,REST,,,,,,0.39981499314308167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019428.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.005,task_1,REST,,,,,,0.39984485507011414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019458.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290.005,task_1,REST,,,,,,0.39956414699554443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019488.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320.005,task_1,REST,,,,,,0.40017613768577576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019518.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350.005,task_1,REST,,,,,,0.399874746799469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019548.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380.005,task_1,REST,,,,,,0.1399940699338913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019578.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410.005,task_1,REST,,,,,,0.3486955463886261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019608.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440.005,task_1,REST,,,,,,0.34227100014686584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019638.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470.005,task_1,REST,,,,,,0.22489874064922333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019668.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.005,task_1,REST,,,,,,0.38848379254341125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019698.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530.005,task_1,REST,,,,,,0.17089352011680603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019728.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560.005,task_1,REST,,,,,,0.08081722259521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019758.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590.005,task_1,REST,,,,,,0.31321272253990173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019788.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620.005,task_1,REST,,,,,,0.3442952036857605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019818.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650.005,task_1,REST,,,,,,0.3030759394168854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019848.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680.005,task_1,REST,,,,,,0.030174188315868378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019878.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710.005,task_1,REST,,,,,,0.2810320258140564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019908.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740.005,task_1,REST,,,,,,0.3583100438117981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019938.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770.005,task_1,REST,,,,,,0.37155482172966003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019968.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.005,task_1,REST,,,,,,0.3985321521759033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019998.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830.005,task_1,REST,,,,,,0.390364408493042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020028.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860.005,task_1,REST,,,,,,0.4015566408634186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020058.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890.005,task_1,REST,,,,,,0.40200158953666687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020088.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.005,task_1,REST,,,,,,0.40199050307273865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020118.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950.005,task_1,REST,,,,,,0.38048800826072693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020148.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.005,task_1,REST,,,,,,-0.06760762631893158,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020178.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.005,task_1,REST,,,,,,-0.1722574234008789,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020208.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040.005,task_1,REST,,,,,,-0.12674658000469208,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020238.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
