Header line count: 79
Export version: 3.12
User:
 - name: Labor Labor
 - login: Labor
 - email: N/A

Project:
 - name: Practical Course EC2 SoSe25
 - tags: N/A
 - creator: Labor Labor

Test Plan:
 - name: CoinCell_Cycling_SoSe25
 - tags: N/A
 - creator: Labor Labor
 - tasks:
Step,Type,Control Parameters,Limits,Record Conditions
1,REST,,TIME > 6.0000h then NEXT_STEP,DELTA_TIME = 30.000s
2,LOOP,LOOP_ID: LOOP_1 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
3,CC,I: 237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 30.000s
4,CC,I: -237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 30.000s
N/A,LOOP,END LOOP_ID : LOOP_1,
5,LOOP,LOOP_ID: LOOP_2 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
6,CC,I: 2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 10.000s
7,CC,I: -2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 10.000s
N/A,LOOP,END LOOP_ID : LOOP_2,
8,LOOP,LOOP_ID: LOOP_3 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
9,CC,I: 4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 5.0000s
10,CC,I: -4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 5.0000s
N/A,LOOP,END LOOP_ID : LOOP_3,
 - no user variable
 - safety limits (after a time of 10.000ms):
  - U > 4.7000V then SAFETY_STOP

DUT Type:
 - name: Default Device Under Test
 - electrolyte: N/A
 - electrode material: N/A
 - description: N/A
 - tags: N/A
 - nominal capacity: N/A
 - maximum voltage: N/A
 - nominal voltage: N/A
 - minimum voltage: N/A
 - nominal energy: N/A
 - maximum discharge current: N/A
 - maximum charge current: N/A
 - mass: N/A
 - volume: N/A
 - surface area: N/A
 - characteristic mass: N/A
 - mass of active material: N/A
 - x: N/A
 - Molecular weight of active material at x=0: N/A
 - Acquisition started at x0=: N/A
 - Intercalated ion molecular weight of active material at x=0: N/A
 - Number of electrons transferred per intercalated ions: N/A

Test Run:
  - name: EC2_Group3_FZ
  - tags: N/A
  - creator: Labor Labor
  - batch number: N/A
  - started on: 2025-09-16 10:22:58.181835
  - finished on: 2025-09-16 19:54:16.281334

Dut Run:
  - DUT Name: N/A
  - Comment: N/A

Instrument:
  - channel: A.6
  - model: BCS-905
  - serial number: 0729

System version: 3.0.0-9
System address: 10.128.128.50

Time /s,Step,Task,Cycle number,Loop 1 number,Loop 2 number,Loop 3 number,Loop 4 number,U /V,I /A,P /W,Q /Ah,Q charge /Ah,Q discharge /Ah,Capacity /Ah,Energy /Wh,Energy charge /Wh,Energy discharge /Wh,Temperature /CelsiusDegrees,I Range /A,Phase,Frequency /Hz,Ua /V,Ia /A,Impedance module /Ohms,Impedance phase /rad,Real impedance /Ohms,- Imaginary impedance /Ohms,Admittance module /Ohms,Admittance phase /rad,Real admittance /Ohms,Imaginary admittance /Ohms,@Var1,@Var2,@Var3,@Var4,@Var5,@Var6,@Var7,@Var8,@Var9,@Var10,Date Time /ns,Duration (step) /s,Umin (step) /V,Umax (step) /V,Umean (step) /V,Ubegin (step) /V,Uend (step) /V,Imin (step) /A,Imax (step) /A,Imean (step) /A,Ibegin (step) /A,Iend (step) /A,Q (step) /Ah,Q charge (step) /Ah,Q discharge (step) /Ah,Energy (step) /Wh,Energy charge (step) /Wh,Energy discharge (step) /Wh,Pmin (step) /W,Pmax (step) /W,Rdc (step) /Ohms,Rac (step) /Ohms,Counter value (loop),Loop ID (loop),List value (loop),Duration (loop) /s,Q (loop) /Ah,Q charge (loop) /Ah,Q discharge (loop) /Ah,Energy (loop) /Wh,Energy charge (loop) /Wh,Energy discharge (loop) /Wh,Duration (cycle) /s,Q (cycle) /Ah,Q charge (cycle) /Ah,Q discharge (cycle) /Ah,Efficiency (cycle) /none,Energy (cycle) /Wh,Energy charge (cycle) /Wh,Energy discharge (cycle) /Wh
510.005,task_1,REST,,,,,,0.37569695711135864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018687.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540.005,task_1,REST,,,,,,0.3757598102092743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018717.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570.005,task_1,REST,,,,,,0.375928670167923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018747.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.005,task_1,REST,,,,,,0.37611666321754456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018777.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630.005,task_1,REST,,,,,,0.3762315809726715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018807.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660.005,task_1,REST,,,,,,0.3763801157474518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018837.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690.005,task_1,REST,,,,,,0.37648242712020874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018867.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720.005,task_1,REST,,,,,,0.37649351358413696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018897.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750.005,task_1,REST,,,,,,0.37671908736228943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018927.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780.005,task_1,REST,,,,,,0.3768266439437866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018957.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810.005,task_1,REST,,,,,,0.3769480288028717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018987.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840.005,task_1,REST,,,,,,0.37710273265838623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019017.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870.005,task_1,REST,,,,,,0.3773156702518463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019047.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.005,task_1,REST,,,,,,0.3774259686470032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019077.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930.005,task_1,REST,,,,,,0.3775443136692047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019107.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960.005,task_1,REST,,,,,,0.3776373863220215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019137.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990.005,task_1,REST,,,,,,0.37778252363204956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019167.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020.005,task_1,REST,,,,,,0.37788358330726624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019197.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050.005,task_1,REST,,,,,,0.37799882888793945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019227.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080.005,task_1,REST,,,,,,0.37815508246421814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019257.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110.005,task_1,REST,,,,,,0.37827184796333313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019287.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.005,task_1,REST,,,,,,0.378437340259552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019317.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170.005,task_1,REST,,,,,,0.37860313057899475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019347.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.005,task_1,REST,,,,,,0.3787892460823059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019377.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230.005,task_1,REST,,,,,,0.37899908423423767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019407.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260.005,task_1,REST,,,,,,0.3792215883731842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019437.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290.005,task_1,REST,,,,,,0.37948012351989746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019467.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320.005,task_1,REST,,,,,,0.37965700030326843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019497.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350.005,task_1,REST,,,,,,0.3798477351665497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019527.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380.005,task_1,REST,,,,,,0.38001352548599243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019557.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410.005,task_1,REST,,,,,,0.3802218437194824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019587.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440.005,task_1,REST,,,,,,0.3804394006729126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019617.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470.005,task_1,REST,,,,,,0.3806319832801819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019647.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.005,task_1,REST,,,,,,0.3811083734035492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019677.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530.005,task_1,REST,,,,,,0.38171112537384033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019707.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560.005,task_1,REST,,,,,,0.3822476267814636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019737.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590.005,task_1,REST,,,,,,0.3828124701976776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019767.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620.005,task_1,REST,,,,,,0.3835209012031555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019797.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650.005,task_1,REST,,,,,,0.3839815855026245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019827.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680.005,task_1,REST,,,,,,0.38442161679267883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019857.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710.005,task_1,REST,,,,,,0.3847230076789856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019887.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740.005,task_1,REST,,,,,,0.38505426049232483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019917.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770.005,task_1,REST,,,,,,0.38532572984695435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019947.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.005,task_1,REST,,,,,,0.3855436146259308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019977.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830.005,task_1,REST,,,,,,0.38575005531311035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020007.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860.005,task_1,REST,,,,,,0.38600581884384155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020037.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890.005,task_1,REST,,,,,,0.3861839473247528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020067.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.005,task_1,REST,,,,,,0.3863845467567444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020097.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950.005,task_1,REST,,,,,,0.3865170478820801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020127.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.005,task_1,REST,,,,,,0.3866936266422272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020157.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.005,task_1,REST,,,,,,0.3868609368801117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020187.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040.005,task_1,REST,,,,,,0.38700300455093384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758020217.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
